Demographic Trends of People Receiving COVID-19 Vaccinations in the United States,,,,,,,,https://covid.cdc.gov/covid-data-tracker/#vaccination-demographics-trends,,,,,,,
Date generated: Tue Apr 27 2021 08:33:10 GMT-0400 (Eastern Daylight Time),,,,,,,,,,,,,,,
Disclaimer:,,,,,,,,,,,,,,,
Due to a data synchronization error between April 3-5 2021 the daily count of doses reporting “Unknown Age” in the COVID-19 Case Surveillance Public Use Data incorrectly appeared higher than expected. The issue was resolved on April 6 2021 and the count of doses reporting ‘Unknown Age’ accurately reflects the totals reported to CDC.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Age Group,People with at least one dose,People who are fully vaccinated,Percent of age group with at least one dose,Percent of age group fully vaccinated,Census,,,,,,,,,
1/24/2021,Age_unknown,3002,55,0,0,0,,,,,,,,,
1/23/2021,Age_unknown,2904,52,0,0,0,,,,,,,,,
1/22/2021,Age_unknown,2735,49,0,0,0,,,,,,,,,
1/21/2021,Age_unknown,2472,47,0,0,0,,,,,,,,,
1/20/2021,Age_unknown,2370,40,0,0,0,,,,,,,,,
1/19/2021,Age_unknown,2326,37,0,0,0,,,,,,,,,
1/18/2021,Age_unknown,2305,37,0,0,0,,,,,,,,,
1/17/2021,Age_unknown,2242,37,0,0,0,,,,,,,,,
1/16/2021,Age_unknown,2162,37,0,0,0,,,,,,,,,
1/15/2021,Age_unknown,1671,31,0,0,0,,,,,,,,,
1/14/2021,Age_unknown,1414,26,0,0,0,,,,,,,,,
1/13/2021,Age_unknown,1145,21,0,0,0,,,,,,,,,
1/12/2021,Age_unknown,948,15,0,0,0,,,,,,,,,
1/11/2021,Age_unknown,924,14,0,0,0,,,,,,,,,
1/10/2021,Age_unknown,908,13,0,0,0,,,,,,,,,
1/9/2021,Age_unknown,847,11,0,0,0,,,,,,,,,
1/8/2021,Age_unknown,793,7,0,0,0,,,,,,,,,
1/7/2021,Age_unknown,759,2,0,0,0,,,,,,,,,
1/6/2021,Age_unknown,720,1,0,0,0,,,,,,,,,
1/5/2021,Age_unknown,591,0,0,0,0,,,,,,,,,
1/4/2021,Age_unknown,519,0,0,0,0,,,,,,,,,
1/3/2021,Age_unknown,450,0,0,0,0,,,,,,,,,
1/2/2021,Age_unknown,401,0,0,0,0,,,,,,,,,
1/1/2021,Age_unknown,210,0,0,0,0,,,,,,,,,
12/31/2020,Age_unknown,201,0,0,0,0,,,,,,,,,
12/30/2020,Age_unknown,156,0,0,0,0,,,,,,,,,
12/29/2020,Age_unknown,145,0,0,0,0,,,,,,,,,
12/28/2020,Age_unknown,130,0,0,0,0,,,,,,,,,
12/27/2020,Age_unknown,126,0,0,0,0,,,,,,,,,
12/26/2020,Age_unknown,124,0,0,0,0,,,,,,,,,
12/25/2020,Age_unknown,120,0,0,0,0,,,,,,,,,
12/24/2020,Age_unknown,111,0,0,0,0,,,,,,,,,
12/23/2020,Age_unknown,94,0,0,0,0,,,,,,,,,
12/22/2020,Age_unknown,87,0,0,0,0,,,,,,,,,
12/21/2020,Age_unknown,67,0,0,0,0,,,,,,,,,
12/20/2020,Age_unknown,44,0,0,0,0,,,,,,,,,
12/19/2020,Age_unknown,28,0,0,0,0,,,,,,,,,
12/18/2020,Age_unknown,4,0,0,0,0,,,,,,,,,
4/26/2021,Age_known,130153894,88553202,0,0,0,,,,,,,,,
4/25/2021,Age_known,129201306,87493307,0,0,0,,,,,,,,,
4/24/2021,Age_known,127942916,85906785,0,0,0,,,,,,,,,
4/23/2021,Age_known,126622187,84120080,0,0,0,,,,,,,,,
4/22/2021,Age_known,125295419,82360192,0,0,0,,,,,,,,,
4/21/2021,Age_known,124038252,80855211,0,0,0,,,,,,,,,
4/20/2021,Age_known,122946698,79589683,0,0,0,,,,,,,,,
4/19/2021,Age_known,122058399,78800861,0,0,0,,,,,,,,,
4/18/2021,Age_known,121083557,77802113,0,0,0,,,,,,,,,
4/17/2021,Age_known,119396470,76059834,0,0,0,,,,,,,,,
4/16/2021,Age_known,117742338,74268370,0,0,0,,,,,,,,,
4/15/2021,Age_known,115992481,72337056,0,0,0,,,,,,,,,
4/14/2021,Age_known,114229635,70678591,0,0,0,,,,,,,,,
4/13/2021,Age_known,112756341,69452426,0,0,0,,,,,,,,,
4/12/2021,Age_known,111430061,68304963,0,0,0,,,,,,,,,
4/11/2021,Age_known,109932391,66978407,0,0,0,,,,,,,,,
4/10/2021,Age_known,107982783,65188227,0,0,0,,,,,,,,,
4/9/2021,Age_known,105536209,62935747,0,0,0,,,,,,,,,
4/8/2021,Age_known,103373120,61131735,0,0,0,,,,,,,,,
4/7/2021,Age_known,101478013,59507850,0,0,0,,,,,,,,,
4/6/2021,Age_known,99771773,58215550,0,0,0,,,,,,,,,
4/5/2021,Age_known,96033453,55383985,0,0,0,,,,,,,,,
4/4/2021,Age_known,96023468,55362079,0,0,0,,,,,,,,,
4/3/2021,Age_known,95998304,55305167,0,0,0,,,,,,,,,
4/2/2021,Age_known,93865189,53641386,0,0,0,,,,,,,,,
4/1/2021,Age_known,91817694,51932689,0,0,0,,,,,,,,,
3/31/2021,Age_known,90086443,50643941,0,0,0,,,,,,,,,
3/30/2021,Age_known,88663184,49581723,0,0,0,,,,,,,,,
3/29/2021,Age_known,87759507,48879776,0,0,0,,,,,,,,,
3/28/2021,Age_known,86485996,47931208,0,0,0,,,,,,,,,
3/27/2021,Age_known,84688945,46588501,0,0,0,,,,,,,,,
3/26/2021,Age_known,82676639,45285534,0,0,0,,,,,,,,,
3/25/2021,Age_known,80621501,44128484,0,0,0,,,,,,,,,
3/24/2021,Age_known,78917577,43199822,0,0,0,,,,,,,,,
3/23/2021,Age_known,77354008,42380697,0,0,0,,,,,,,,,
3/22/2021,Age_known,76272668,41795037,0,0,0,,,,,,,,,
3/21/2021,Age_known,74990315,41069055,0,0,0,,,,,,,,,
3/20/2021,Age_known,73066347,40023615,0,0,0,,,,,,,,,
3/19/2021,Age_known,71071908,38972519,0,0,0,,,,,,,,,
3/18/2021,Age_known,69474729,38067119,0,0,0,,,,,,,,,
3/17/2021,Age_known,67809066,37119614,0,0,0,,,,,,,,,
3/16/2021,Age_known,66428345,36211219,0,0,0,,,,,,,,,
3/15/2021,Age_known,65441305,35533815,0,0,0,,,,,,,,,
3/14/2021,Age_known,64253759,34705367,0,0,0,,,,,,,,,
3/13/2021,Age_known,62605247,33672352,0,0,0,,,,,,,,,
3/12/2021,Age_known,60376056,32352985,0,0,0,,,,,,,,,
3/11/2021,Age_known,58693051,31206308,0,0,0,,,,,,,,,
3/10/2021,Age_known,57218751,30265411,0,0,0,,,,,,,,,
3/9/2021,Age_known,56022808,29539792,0,0,0,,,,,,,,,
3/8/2021,Age_known,55114015,28997635,0,0,0,,,,,,,,,
3/7/2021,Age_known,54080414,28330141,0,0,0,,,,,,,,,
3/6/2021,Age_known,52639686,27395278,0,0,0,,,,,,,,,
3/5/2021,Age_known,50980142,26375157,0,0,0,,,,,,,,,
3/4/2021,Age_known,49613249,25524248,0,0,0,,,,,,,,,
3/3/2021,Age_known,48535644,24773886,0,0,0,,,,,,,,,
3/2/2021,Age_known,47551739,24095233,0,0,0,,,,,,,,,
3/1/2021,Age_known,46706864,23611185,0,0,0,,,,,,,,,
2/28/2021,Age_known,45757886,22913690,0,0,0,,,,,,,,,
2/27/2021,Age_known,44514585,21923332,0,0,0,,,,,,,,,
2/26/2021,Age_known,43330714,20892006,0,0,0,,,,,,,,,
2/25/2021,Age_known,42304618,19919941,0,0,0,,,,,,,,,
2/24/2021,Age_known,41503730,19111103,0,0,0,,,,,,,,,
2/23/2021,Age_known,40856377,18469631,0,0,0,,,,,,,,,
2/22/2021,Age_known,40489835,18084387,0,0,0,,,,,,,,,
2/21/2021,Age_known,40000365,17525135,0,0,0,,,,,,,,,
2/20/2021,Age_known,39216474,16599287,0,0,0,,,,,,,,,
2/19/2021,Age_known,38431854,15775099,0,0,0,,,,,,,,,
2/18/2021,Age_known,37502724,14926224,0,0,0,,,,,,,,,
2/17/2021,Age_known,36777210,14253189,0,0,0,,,,,,,,,
2/16/2021,Age_known,36211036,13838818,0,0,0,,,,,,,,,
2/15/2021,Age_known,35692603,13479080,0,0,0,,,,,,,,,
2/14/2021,Age_known,34914543,12959266,0,0,0,,,,,,,,,
2/13/2021,Age_known,33756664,12022117,0,0,0,,,,,,,,,
2/12/2021,Age_known,32615127,11098280,0,0,0,,,,,,,,,
2/11/2021,Age_known,31610386,10277779,0,0,0,,,,,,,,,
2/10/2021,Age_known,30787694,9638528,0,0,0,,,,,,,,,
2/9/2021,Age_known,29968563,9052487,0,0,0,,,,,,,,,
2/8/2021,Age_known,29436646,8749625,0,0,0,,,,,,,,,
2/7/2021,Age_known,28739590,8406113,0,0,0,,,,,,,,,
2/6/2021,Age_known,27656312,7686454,0,0,0,,,,,,,,,
2/5/2021,Age_known,26439894,6937072,0,0,0,,,,,,,,,
2/4/2021,Age_known,25546046,6423155,0,0,0,,,,,,,,,
2/3/2021,Age_known,24719514,5928067,0,0,0,,,,,,,,,
2/2/2021,Age_known,24114474,5623876,0,0,0,,,,,,,,,
2/1/2021,Age_known,23699460,5485714,0,0,0,,,,,,,,,
1/31/2021,Age_known,22944470,5237308,0,0,0,,,,,,,,,
1/30/2021,Age_known,21856765,4861885,0,0,0,,,,,,,,,
1/29/2021,Age_known,20744640,4420870,0,0,0,,,,,,,,,
1/28/2021,Age_known,19664718,3936268,0,0,0,,,,,,,,,
1/27/2021,Age_known,18739459,3528142,0,0,0,,,,,,,,,
1/26/2021,Age_known,18001009,3232759,0,0,0,,,,,,,,,
1/25/2021,Age_known,17442676,3130953,0,0,0,,,,,,,,,
1/24/2021,Age_known,16702828,3001492,0,0,0,,,,,,,,,
1/23/2021,Age_known,15566785,2807913,0,0,0,,,,,,,,,
1/22/2021,Age_known,14494697,2561413,0,0,0,,,,,,,,,
1/21/2021,Age_known,13453502,2234972,0,0,0,,,,,,,,,
1/20/2021,Age_known,12721103,2011919,0,0,0,,,,,,,,,
1/19/2021,Age_known,12130930,1883229,0,0,0,,,,,,,,,
1/18/2021,Age_known,11769000,1833327,0,0,0,,,,,,,,,
1/17/2021,Age_known,11216323,1771112,0,0,0,,,,,,,,,
1/16/2021,Age_known,10362563,1657451,0,0,0,,,,,,,,,
1/15/2021,Age_known,9420088,1495107,0,0,0,,,,,,,,,
1/14/2021,Age_known,8652036,1261278,0,0,0,,,,,,,,,
1/13/2021,Age_known,8029071,1012756,0,0,0,,,,,,,,,
1/12/2021,Age_known,7472318,781807,0,0,0,,,,,,,,,
1/11/2021,Age_known,7186475,703985,0,0,0,,,,,,,,,
1/10/2021,Age_known,6836829,589218,0,0,0,,,,,,,,,
1/9/2021,Age_known,6190380,352201,0,0,0,,,,,,,,,
1/8/2021,Age_known,5594928,181810,0,0,0,,,,,,,,,
1/7/2021,Age_known,4994760,82499,0,0,0,,,,,,,,,
1/6/2021,Age_known,4493537,31094,0,0,0,,,,,,,,,
1/5/2021,Age_known,4111925,13163,0,0,0,,,,,,,,,
1/4/2021,Age_known,3979993,12055,0,0,0,,,,,,,,,
1/3/2021,Age_known,3802465,11352,0,0,0,,,,,,,,,
1/2/2021,Age_known,3655553,10931,0,0,0,,,,,,,,,
1/1/2021,Age_known,3314558,10021,0,0,0,,,,,,,,,
12/31/2020,Age_known,2805612,8604,0,0,0,,,,,,,,,
12/30/2020,Age_known,2389845,6969,0,0,0,,,,,,,,,
12/29/2020,Age_known,2039255,4863,0,0,0,,,,,,,,,
12/28/2020,Age_known,1932438,4294,0,0,0,,,,,,,,,
12/27/2020,Age_known,1846526,4125,0,0,0,,,,,,,,,
12/26/2020,Age_known,1775726,3960,0,0,0,,,,,,,,,
12/25/2020,Age_known,1599497,3361,0,0,0,,,,,,,,,
12/24/2020,Age_known,1209724,2602,0,0,0,,,,,,,,,
12/23/2020,Age_known,881613,1776,0,0,0,,,,,,,,,
12/22/2020,Age_known,653869,1431,0,0,0,,,,,,,,,
12/21/2020,Age_known,544058,1089,0,0,0,,,,,,,,,
12/20/2020,Age_known,414202,690,0,0,0,,,,,,,,,
12/19/2020,Age_known,198981,355,0,0,0,,,,,,,,,
12/18/2020,Age_known,72191,84,0,0,0,,,,,,,,,
12/17/2020,Age_known,15393,7,0,0,0,,,,,,,,,
12/16/2020,Age_known,1550,0,0,0,0,,,,,,,,,
12/15/2020,Age_known,0,0,0,0,0,,,,,,,,,
12/14/2020,Age_known,0,0,0,0,0,,,,,,,,,
12/13/2020,Age_known,0,0,0,0,0,,,,,,,,,
