"jurisdiction","week_of_allocations","_1st_dose_allocations"
"Nevada","2021-03-22T00:00:00.000","3300"
"American Samoa","2021-03-22T00:00:00.000","100"
"Guam","2021-03-22T00:00:00.000","200"
"Marshall Islands","2021-03-22T00:00:00.000","100"
"Micronesia","2021-03-22T00:00:00.000","100"
"Mariana Islands","2021-03-22T00:00:00.000","100"
"Palau","2021-03-22T00:00:00.000","100"
"Alaska","2021-03-22T00:00:00.000","1300"
"Idaho","2021-03-22T00:00:00.000","1900"
"Oregon","2021-03-22T00:00:00.000","4800"
"Washington","2021-03-22T00:00:00.000","8400"
"Federal Entities","2021-03-22T00:00:00.000","16700"
"Connecticut","2021-03-15T00:00:00.000","4200"
"Maine","2021-03-15T00:00:00.000","1600"
"Massachusetts","2021-03-15T00:00:00.000","8000"
"New Hampshire","2021-03-15T00:00:00.000","1600"
"Rhode Island","2021-03-15T00:00:00.000","1300"
"Vermont","2021-03-15T00:00:00.000","800"
"New Jersey","2021-03-15T00:00:00.000","10200"
"New York","2021-03-15T00:00:00.000","12900"
"New York City","2021-03-15T00:00:00.000","9800"
"Puerto Rico","2021-03-15T00:00:00.000","4000"
"U.S. Virgin Islands","2021-03-15T00:00:00.000","200"
"Delaware","2021-03-15T00:00:00.000","1100"
"District of Columbia","2021-03-15T00:00:00.000","900"
"Maryland","2021-03-15T00:00:00.000","6900"
"Pennsylvania","2021-03-15T00:00:00.000","13000"
"Philadelphia","2021-03-15T00:00:00.000","1800"
"Virginia","2021-03-15T00:00:00.000","9600"
"West Virginia","2021-03-15T00:00:00.000","2200"
"Alabama","2021-03-15T00:00:00.000","5600"
"Florida","2021-03-15T00:00:00.000","24100"
"Georgia","2021-03-15T00:00:00.000","11500"
"Kentucky","2021-03-15T00:00:00.000","5100"
"Mississippi","2021-03-15T00:00:00.000","3400"
"North Carolina","2021-03-15T00:00:00.000","11500"
"South Carolina","2021-03-15T00:00:00.000","5700"
"Tennessee","2021-03-15T00:00:00.000","7600"
"Chicago","2021-03-15T00:00:00.000","3100"
"Illinois","2021-03-15T00:00:00.000","11500"
"Indiana","2021-03-15T00:00:00.000","7500"
"Michigan","2021-03-15T00:00:00.000","11400"
"Minnesota","2021-03-15T00:00:00.000","6300"
"Ohio","2021-03-15T00:00:00.000","13200"
"Wisconsin","2021-03-15T00:00:00.000","6700"
"Arkansas","2021-03-15T00:00:00.000","3400"
"Louisiana","2021-03-15T00:00:00.000","5200"
"New Mexico","2021-03-15T00:00:00.000","2400"
"Oklahoma","2021-03-15T00:00:00.000","4400"
"Texas","2021-03-15T00:00:00.000","30200"
"Iowa","2021-03-15T00:00:00.000","3600"
"Kansas","2021-03-15T00:00:00.000","3300"
"Missouri","2021-03-15T00:00:00.000","6900"
"Nebraska","2021-03-15T00:00:00.000","2200"
"Colorado","2021-03-15T00:00:00.000","6300"
"Montana","2021-03-15T00:00:00.000","1200"
"North Dakota","2021-03-15T00:00:00.000","900"
"South Dakota","2021-03-15T00:00:00.000","1000"
"Utah","2021-03-15T00:00:00.000","3200"
"Wyoming","2021-03-15T00:00:00.000","700"
"Arizona","2021-03-15T00:00:00.000","7900"
"California","2021-03-15T00:00:00.000","44000"
"Hawaii","2021-03-15T00:00:00.000","1700"
"Nevada","2021-03-15T00:00:00.000","3300"
"American Samoa","2021-03-15T00:00:00.000","100"
"Guam","2021-03-15T00:00:00.000","200"
"Marshall Islands","2021-03-15T00:00:00.000","100"
"Micronesia","2021-03-15T00:00:00.000","100"
"Mariana Islands","2021-03-15T00:00:00.000","100"
"Palau","2021-03-15T00:00:00.000","100"
"Alaska","2021-03-15T00:00:00.000","1300"
"Idaho","2021-03-15T00:00:00.000","1900"
"Oregon","2021-03-15T00:00:00.000","4800"
"Washington","2021-03-15T00:00:00.000","8400"
"Federal Entities","2021-03-15T00:00:00.000","120500"
"Connecticut","2021-03-01T00:00:00.000","30200"
"Maine","2021-03-01T00:00:00.000","11500"
"Massachusetts","2021-03-01T00:00:00.000","58100"
"New Hampshire","2021-03-01T00:00:00.000","11600"
"Rhode Island","2021-03-01T00:00:00.000","9100"
"Vermont","2021-03-01T00:00:00.000","5400"
"New Jersey","2021-03-01T00:00:00.000","73600"
"New York","2021-03-01T00:00:00.000","93700"
"New York City","2021-03-01T00:00:00.000","71100"
"Puerto Rico","2021-03-01T00:00:00.000","28800"
"U.S. Virgin Islands","2021-03-01T00:00:00.000","900"
"Delaware","2021-03-01T00:00:00.000","8000"
"District of Columbia","2021-03-01T00:00:00.000","6000"
